DatabaseParent,DatabaseName,DatabaseDesc,TableName,TableList_Description,FieldName,FieldList_Description
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Symptom,Audiology Symptom,Audiology_Symptom_TM_Perforation,Audiology - Tympanic Membrane Perforation
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Symptom,Audiology Symptom,Audiology_Symptom_Vertigo,Audiology - Vertigo
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Tinnitus_Inventory,Auditory - Tinnitus Inventory,Audiology_Tinnitus_Inventory_TFI_Intake_A_13,"Over the PAST WEEK, how much has your tinnitus interfered with�Your ability to HEAR CLEARLY?"
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Tinnitus_Inventory,Auditory - Tinnitus Inventory,Audiology_Tinnitus_Inventory_TFI_Intake_A_14,"Over the PAST WEEK, how much has your tinnitus interfered with...Your ability to UNDERSTAND PEOPLE who"
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Tinnitus_Inventory,Auditory - Tinnitus Inventory,Audiology_Tinnitus_Inventory_TFI_Intake_A_15,"Over the PAST WEEK, how much has your tinnitus interfered with�Your ability to FOLLOW CONVERSATIONS"
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Tinnitus_Inventory,Auditory - Tinnitus Inventory,Audiology_Tinnitus_Inventory_TFI_Intake_A_Total,Total of three A tinnitus functionality questions
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Tinnitus_Inventory,Auditory - Tinnitus Inventory,Audiology_Tinnitus_Inventory_TFI_Intake_C_7,"Over the PAST WEEK, how much did your tinnitus interfere with�Your ability to CONCENTRATE?"
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Tinnitus_Inventory,Auditory - Tinnitus Inventory,Audiology_Tinnitus_Inventory_TFI_Intake_C_8,"Over the PAST WEEK, how much did your tinnitus interfere with...Your ability to THINK CLEARLY?"
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Tinnitus_Inventory,Auditory - Tinnitus Inventory,Audiology_Tinnitus_Inventory_TFI_Intake_C_9,"Over the PAST WEEK, how much did your tinnitus interfere with�Your ability to FOCUS ATTENTION on other things besides your tinnitus?"
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Tinnitus_Inventory,Auditory - Tinnitus Inventory,Audiology_Tinnitus_Inventory_TFI_Intake_C_Total,Total of three C tinnitus functionality questions
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Tinnitus_Inventory,Auditory - Tinnitus Inventory,Audiology_Tinnitus_Inventory_TFI_Intake_E_23,Over the PAST WEEK�How ANXIOUS or WORRIED has your tinnitus made you feel?
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Tinnitus_Inventory,Auditory - Tinnitus Inventory,Audiology_Tinnitus_Inventory_TFI_Intake_E_24,Over the PAST WEEK...How BOTHERED or UPSET have you been because of your tinnitus?
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Tinnitus_Inventory,Auditory - Tinnitus Inventory,Audiology_Tinnitus_Inventory_TFI_Intake_E_25,Over the PAST WEEK�How DEPRESSED were you because of your tinnitus?
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Tinnitus_Inventory,Auditory - Tinnitus Inventory,Audiology_Tinnitus_Inventory_TFI_Intake_E_Total,Total of three E tinnitus functionality questions
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Tinnitus_Inventory,Auditory - Tinnitus Inventory,Audiology_Tinnitus_Inventory_TFI_Intake_Q_19,"Over the PAST WEEK, how much has your tinnitus interfered with�Your enjoyment of SOCIAL ACTIVITIES?"
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Tinnitus_Inventory,Auditory - Tinnitus Inventory,Audiology_Tinnitus_Inventory_TFI_Intake_Q_20,"Over the PAST WEEK, how much has your tinnitus interfered with...Your ENJOYMENT OF LIFE?"
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Tinnitus_Inventory,Auditory - Tinnitus Inventory,Audiology_Tinnitus_Inventory_TFI_Intake_Q_21,"Over the PAST WEEK, how much has your tinnitus interfered with�Performing your WORK OR OTHER friends and other people?"
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Tinnitus_Inventory,Auditory - Tinnitus Inventory,Audiology_Tinnitus_Inventory_TFI_Intake_Q_22,"Over the PAST WEEK, how much has your tinnitus interfered with�Performing your WORK OR OTHER"
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Tinnitus_Inventory,Auditory - Tinnitus Inventory,Audiology_Tinnitus_Inventory_TFI_Intake_Q_Total,Total of four Q tinnitus functionality questions
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Tinnitus_Inventory,Auditory - Tinnitus Inventory,Audiology_Tinnitus_Inventory_TFI_Intake_R_16,"Over the PAST WEEK, how much has your tinnitus interfered with...Your QUIET RESTING ACTIVITIES?"
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Tinnitus_Inventory,Auditory - Tinnitus Inventory,Audiology_Tinnitus_Inventory_TFI_Intake_R_17,"Over the PAST WEEK, how much has your tinnitus interfered with�Your ability to RELAX?"
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Tinnitus_Inventory,Auditory - Tinnitus Inventory,Audiology_Tinnitus_Inventory_TFI_Intake_R_18,"Over the PAST WEEK, how much has your tinnitus interfered with...Your ability to enjoy �PEACE AND QUIET�?"
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Tinnitus_Inventory,Auditory - Tinnitus Inventory,Audiology_Tinnitus_Inventory_TFI_Intake_R_Total,Total of three R tinnitus functionality questions
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Tinnitus_Inventory,Auditory - Tinnitus Inventory,Audiology_Tinnitus_Inventory_TFI_Intake_SC_4,Over the past week -- Did you feel IN CONTROL in regard to your tinnitus?
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Tinnitus_Inventory,Auditory - Tinnitus Inventory,Audiology_Tinnitus_Inventory_TFI_Intake_SC_5,Over the past week -- How easy was it for you to COPE with your tinnitus?
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Tinnitus_Inventory,Auditory - Tinnitus Inventory,Audiology_Tinnitus_Inventory_TFI_Intake_SC_6,Over the past week -- How easy was it for you to IGNORE your tinnitus?
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Tinnitus_Inventory,Auditory - Tinnitus Inventory,Audiology_Tinnitus_Inventory_TFI_Intake_SC_Total,Total of three SC tinnitus functionality questions
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Tinnitus_Inventory,Auditory - Tinnitus Inventory,Audiology_Tinnitus_Inventory_TFI_Intake_SL_10,Over the PAST WEEK -- How often did your tinnitus make it difficult to fALL ASLEEP or STAY ASLEEP?
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Tinnitus_Inventory,Auditory - Tinnitus Inventory,Audiology_Tinnitus_Inventory_TFI_Intake_SL_11,Over the PAST WEEK -- How often did your tinnitus cause you difficulty in getting AS MUCH SLEEP as you needed?
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Tinnitus_Inventory,Auditory - Tinnitus Inventory,Audiology_Tinnitus_Inventory_TFI_Intake_SL_12,Over the PAST WEEK -- How much of the time did your tinnitus keep you from SLEEPING as DEEPLY or as PEACEFULLY as you would have liked?
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Tinnitus_Inventory,Auditory - Tinnitus Inventory,Audiology_Tinnitus_Inventory_TFI_Intake_SL_Total,Total of three SC tinnitus functionality questions
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Tinnitus_Inventory,Auditory - Tinnitus Inventory,Audiology_Tinnitus_Inventory_TFI_Intake_Total_Score,Total score of all tinnitus questions on intake
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Tinnitus_Inventory,Auditory - Tinnitus Inventory,Audiology_Tinnitus_Inventory_TFI_Intake1,Over the past week-- What percentage of your time awake were you consciously AWARE OF your tinnitus?
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Tinnitus_Inventory,Auditory - Tinnitus Inventory,Audiology_Tinnitus_Inventory_TFI_Intake2,Over the past week-- How STRONG or LOUD was your tinnitus?
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Tinnitus_Inventory,Auditory - Tinnitus Inventory,Audiology_Tinnitus_Inventory_TFI_Intake3,Over the past week-- What percentage of your time awake were you ANNOYED by your tinnitus?
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Tinnitus_Inventory,Auditory - Tinnitus Inventory,Audiology_Tinnitus_Inventory_TFI_Post_A_13,"Over the PAST WEEK, how much has your tinnitus interfered with�Your ability to HEAR CLEARLY?"
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Tinnitus_Inventory,Auditory - Tinnitus Inventory,Audiology_Tinnitus_Inventory_TFI_Post_A_14,"Over the PAST WEEK, how much has your tinnitus interfered with...Your ability to UNDERSTAND PEOPLE?"
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Tinnitus_Inventory,Auditory - Tinnitus Inventory,Audiology_Tinnitus_Inventory_TFI_Post_A_15,"Over the PAST WEEK, how much has your tinnitus interfered with�Your ability to FOLLOW CONVERSATIONS?"
